TBL_DEF_ID	TABLE_NAME	FIELD_NAME	TYPE_NAME	ALLOW_NULL	KEY_DIV	DEFAULT_VALUE	EXTRA	TABLE_LOGICAL_NAME	FIELD_LOGICAL_NAME	FOREIGN_TABLE	DESC_FIELD
1000001	GNR_GRP	GNR_GRP_ID	INT	NO	PRI	null	AUTO_INCREMENT	汎用グループ	汎用グループID		GNR_GRP_NAME
1000002	GNR_GRP	GNR_GRP_NAME	VARCHAR(256)	YES		null		汎用グループ	汎用グループ名		
1000003	GNR_GRP	VERSION	INT	YES		null		汎用グループ	バージョン		
1000004	GNR_GRP	IS_DELETED	INT	YES		null		汎用グループ	削除フラグ		
1000005	GNR_GRP	CREATED_BY	VARCHAR(128)	YES		null		汎用グループ	作成者		
1000006	GNR_GRP	CREATED_AT	DATETIME	YES		null		汎用グループ	作成日時		
1000007	GNR_GRP	UPDATED_BY	VARCHAR(128)	YES		null		汎用グループ	更新者		
1000008	GNR_GRP	UPDATED_AT	TIMESTAMP	YES		null		汎用グループ	更新日時		
1000101	GNR_KEY_VAL	GNR_KEY_VAL_ID	INT	NO	PRI	null	AUTO_INCREMENT	汎用コード	汎用コードID		GNR_KEY
1000102	GNR_KEY_VAL	GNR_KEY	VARCHAR(256)	YES		null		汎用コード	キー		
1000103	GNR_KEY_VAL	GNR_VAL	VARCHAR(256)	YES		null		汎用コード	値		
1000104	GNR_KEY_VAL	GNR_GRP_ID	INT	YES		null		汎用コード	汎用グループID	GNR_GRP	
1000105	GNR_KEY_VAL	ORD_IN_GRP	INT	YES		null		汎用コード	グループ内順序		
1000106	GNR_KEY_VAL	VERSION	INT	YES		null		汎用コード	バージョン		
1000107	GNR_KEY_VAL	IS_DELETED	INT	YES		null		汎用コード	削除フラグ		
1000108	GNR_KEY_VAL	CREATED_BY	VARCHAR(128)	YES		null		汎用コード	作成者		
1000109	GNR_KEY_VAL	CREATED_AT	DATETIME	YES		null		汎用コード	作成日時		
1000110	GNR_KEY_VAL	UPDATED_BY	VARCHAR(128)	YES		null		汎用コード	更新者		
1000111	GNR_KEY_VAL	UPDATED_AT	TIMESTAMP	YES		null		汎用コード	更新日時		
1000201	TBL_DEF	TBL_DEF_ID	INT	NO	PRI	null	AUTO_INCREMENT	テーブル定義	テーブル定義ID		TABLE_NAME
1000202	TBL_DEF	TABLE_NAME	VARCHAR(256)	YES		null		テーブル定義	テーブル名		
1000203	TBL_DEF	FIELD_NAME	VARCHAR(256)	YES		null		テーブル定義	フィールド名		
1000204	TBL_DEF	TYPE_NAME	VARCHAR(256)	YES		null		テーブル定義	型		
1000205	TBL_DEF	ALLOW_NULL	VARCHAR(256)	YES		null		テーブル定義	NULL許可		
1000206	TBL_DEF	KEY_DIV	VARCHAR(256)	YES		null		テーブル定義	キー区分		
1000207	TBL_DEF	DEFAULT_VALUE	VARCHAR(256)	YES		null		テーブル定義	デフォルト値		
1000208	TBL_DEF	EXTRA	VARCHAR(256)	YES		null		テーブル定義	拡張		
1000209	TBL_DEF	TABLE_LOGICAL_NAME	VARCHAR(256)	YES		null		テーブル定義	テーブル論理名		
1000210	TBL_DEF	FIELD_LOGICAL_NAME	VARCHAR(256)	YES		null		テーブル定義	フィールド名論理名		
1000211	TBL_DEF	FOREIGN_TABLE	VARCHAR(256)	YES		null		テーブル定義	外部テーブル		
1000212	TBL_DEF	DESC_FIELD	VARCHAR(256)	YES		null		テーブル定義	説明フィールド		
1000301	ACCNT	ACCNT_ID	INT	NO	PRI	null	AUTO_INCREMENT	アカウント	アカウントID		ACCOUNT_NAME
1000302	ACCNT	ACCOUNT_NAME	VARCHAR(256)	YES		null		アカウント	アカウント名		
1000303	ACCNT	MAIL_ADDRESS	VARCHAR(256)	YES		null		アカウント	メールアドレス		
1000304	ACCNT	PASSWORD	VARCHAR(256)	YES		null		アカウント	パスワード		
1000305	ACCNT	VERSION	INT	YES		null		アカウント	バージョン		
1000306	ACCNT	IS_DELETED	INT	YES		null		アカウント	削除フラグ		
1000307	ACCNT	CREATED_BY	VARCHAR(128)	YES		null		アカウント	作成者		
1000308	ACCNT	CREATED_AT	DATETIME	YES		null		アカウント	作成日時		
1000309	ACCNT	UPDATED_BY	VARCHAR(128)	YES		null		アカウント	更新者		
1000310	ACCNT	UPDATED_AT	TIMESTAMP	YES		null		アカウント	更新日時		
1000401	SCR	SCR_ID	INT	NO	PRI	null	AUTO_INCREMENT	スクリプト	スクリプトID		SCR_NAME
1000402	SCR	SCR_NAME	VARCHAR(256)	YES		null		スクリプト	スクリプト名		
1000403	SCR	VERSION	INT	YES		null		スクリプト	バージョン		
1000404	SCR	IS_DELETED	INT	YES		null		スクリプト	削除フラグ		
1000405	SCR	CREATED_BY	VARCHAR(128)	YES		null		スクリプト	作成者		
1000406	SCR	CREATED_AT	DATETIME	YES		null		スクリプト	作成日時		
1000407	SCR	UPDATED_BY	VARCHAR(128)	YES		null		スクリプト	更新者		
1000408	SCR	UPDATED_AT	TIMESTAMP	YES		null		スクリプト	更新日時		
1000501	SCR_ELM	SCR_ELM_ID	INT	NO	PRI	null	AUTO_INCREMENT	スクリプトエレメント	スクリプトエレメントID		SERVICE_NAME
1000502	SCR_ELM	SERVICE_NAME	VARCHAR(256)	YES		null		スクリプトエレメント	サービス名		
1000503	SCR_ELM	ADAPTER	VARCHAR(256)	YES		null		スクリプトエレメント	アダプタ		
1000504	SCR_ELM	PREPARE_INPUT	VARCHAR(256)	YES		null		スクリプトエレメント	入力準備		
1000505	SCR_ELM	SCR_ID	INT	YES		null		スクリプトエレメント	スクリプトID	SCR	
1000506	SCR_ELM	ORD_IN_GRP	INT	YES		null		スクリプトエレメント	グループ内順序		
1000507	SCR_ELM	VERSION	INT	YES		null		スクリプトエレメント	バージョン		
1000508	SCR_ELM	IS_DELETED	INT	YES		null		スクリプトエレメント	削除フラグ		
1000509	SCR_ELM	CREATED_BY	VARCHAR(128)	YES		null		スクリプトエレメント	作成者		
1000510	SCR_ELM	CREATED_AT	DATETIME	YES		null		スクリプトエレメント	作成日時		
1000511	SCR_ELM	UPDATED_BY	VARCHAR(128)	YES		null		スクリプトエレメント	更新者		
1000512	SCR_ELM	UPDATED_AT	TIMESTAMP	YES		null		スクリプトエレメント	更新日時		
1000601	HTML_PAGE	HTML_PAGE_ID	INT	NO	PRI	null	AUTO_INCREMENT	HTMLページ	HTMLページID		PAGE_NAME
1000602	HTML_PAGE	PAGE_NAME	VARCHAR(256)	YES		null		HTMLページ	ページ名		
1000603	HTML_PAGE	URI_PATTERN_ID	INT	YES		null		HTMLページ	URIパターンID	URI_PATTERN	
1000604	HTML_PAGE	SCR_ID_GET	INT	YES		null		HTMLページ	GETスクリプトID	SCR	
1000605	HTML_PAGE	RESP_KIND_GET	VARCHAR(256)	YES		null		HTMLページ	応答種別(GET)		
1000606	HTML_PAGE	DESTINATION_GET	VARCHAR(256)	YES		null		HTMLページ	遷移先(GET)		
1000607	HTML_PAGE	SCR_ID_POST	INT	YES		null		HTMLページ	POSTスクリプトID	SCR	
1000608	HTML_PAGE	RESP_KIND_POST	VARCHAR(256)	YES		null		HTMLページ	応答種別(POST)		
1000609	HTML_PAGE	DESTINATION_POST	VARCHAR(256)	YES		null		HTMLページ	遷移先(POST)		
1000610	HTML_PAGE	SCR_ID_PUT	INT	YES		null		HTMLページ	PUTスクリプトID	SCR	
1000611	HTML_PAGE	RESP_KIND_PUT	VARCHAR(256)	YES		null		HTMLページ	応答種別(PUT)		
1000612	HTML_PAGE	DESTINATION_PUT	VARCHAR(256)	YES		null		HTMLページ	遷移先(PUT)		
1000613	HTML_PAGE	SCR_ID_DELETE	INT	YES		null		HTMLページ	DELETEスクリプトID	SCR	
1000614	HTML_PAGE	RESP_KIND_DELETE	VARCHAR(256)	YES		null		HTMLページ	応答種別(DELETE)		
1000615	HTML_PAGE	DESTINATION_DELETE	VARCHAR(256)	YES		null		HTMLページ	遷移先(DELETE)		
1000616	HTML_PAGE	VERSION	INT	YES		null		HTMLページ	バージョン		
1000617	HTML_PAGE	IS_DELETED	INT	YES		null		HTMLページ	削除フラグ		
1000618	HTML_PAGE	CREATED_BY	VARCHAR(128)	YES		null		HTMLページ	作成者		
1000619	HTML_PAGE	CREATED_AT	DATETIME	YES		null		HTMLページ	作成日時		
1000620	HTML_PAGE	UPDATED_BY	VARCHAR(128)	YES		null		HTMLページ	更新者		
1000621	HTML_PAGE	UPDATED_AT	TIMESTAMP	YES		null		HTMLページ	更新日時		
1000701	HTML_PARTS	HTML_PARTS_ID	INT	NO	PRI	null	AUTO_INCREMENT	HTMLパーツ	HTMLパーツID		PARTS_NAME
1000702	HTML_PARTS	PARTS_NAME	VARCHAR(256)	YES		null		HTMLパーツ	パーツ名		
1000703	HTML_PARTS	VERSION	INT	YES		null		HTMLパーツ	バージョン		
1000704	HTML_PARTS	IS_DELETED	INT	YES		null		HTMLパーツ	削除フラグ		
1000705	HTML_PARTS	CREATED_BY	VARCHAR(128)	YES		null		HTMLパーツ	作成者		
1000706	HTML_PARTS	CREATED_AT	DATETIME	YES		null		HTMLパーツ	作成日時		
1000707	HTML_PARTS	UPDATED_BY	VARCHAR(128)	YES		null		HTMLパーツ	更新者		
1000708	HTML_PARTS	UPDATED_AT	TIMESTAMP	YES		null		HTMLパーツ	更新日時		
1000801	PARTS_IN_PAGE	PARTS_IN_PAGE_ID	INT	NO	PRI	null	AUTO_INCREMENT	ページ内パーツ	ページ名内パーツID		
1000802	PARTS_IN_PAGE	HTML_PAGE_ID	INT	YES		null		ページ内パーツ	HTMLページID	HTML_PAGE	
1000803	PARTS_IN_PAGE	HTML_PARTS_ID	INT	YES		null		ページ内パーツ	HTMLパーツID	HTML_PARTS	
1000804	PARTS_IN_PAGE	ORD_IN_GRP	INT	YES		null		ページ内パーツ	グループ内順序		
1000805	PARTS_IN_PAGE	VERSION	INT	YES		null		ページ内パーツ	バージョン		
1000806	PARTS_IN_PAGE	IS_DELETED	INT	YES		null		ページ内パーツ	削除フラグ		
1000807	PARTS_IN_PAGE	CREATED_BY	VARCHAR(128)	YES		null		ページ内パーツ	作成者		
1000808	PARTS_IN_PAGE	CREATED_AT	DATETIME	YES		null		ページ内パーツ	作成日時		
1000809	PARTS_IN_PAGE	UPDATED_BY	VARCHAR(128)	YES		null		ページ内パーツ	更新者		
1000810	PARTS_IN_PAGE	UPDATED_AT	TIMESTAMP	YES		null		ページ内パーツ	更新日時		
1000901	APROLE	APROLE_ID	INT	NO	PRI	null	AUTO_INCREMENT	ロール	ロールID		ROLE_NAME
1000902	APROLE	ROLE_NAME	VARCHAR(256)	YES		null		ロール	ロール名		
1000903	APROLE	VERSION	INT	YES		null		ロール	バージョン		
1000904	APROLE	IS_DELETED	INT	YES		null		ロール	削除フラグ		
1000905	APROLE	CREATED_BY	VARCHAR(128)	YES		null		ロール	作成者		
